relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_journal.pone.0050742.pdf_274_274_11_11_16_17	p3/HP:0008070|Sparse hair	{11}	{16,17}	{SKPs,produced,from,DF,isolated,from,both,hair,rich,(,at,p3,and,p12,),and,hair,sparse,(,at,p3,",",as,an,insuﬁicient,number,of,m,.}	{"After 14 days in osteogenic medium Von Kossa staining revealed discrete masses of calciﬁcation in cultures generated from m .","— ."}	{"— .","SKPs was generated at p12 ) anatomical locations ( Figure 3 ) ."}	0.4
RELATION_GENEHPOTERM_journal.pone.0021108.pdf_78_78_9_9_5_6	L5/HP:0003447|Axonal loss	{9}	{5,6}	{Moreover,",",INI-0602,treatment,prevented,axonal,loss,in,the,L5,root,ofthe,SOD1,G93A,Tg,mice,",",whereas,PBS-treated,SOD1,G93A,Tg,mice,showed,markedly,fewer,axons,(,Figure,3C,.}	{"At 20 weeks old , PBS-treated and INI0602-treated SOD1 G93A Tg mice showed obvious differences in body size , muscular atrophy , and kyphosis ( Figure 3A , Video S1 and S2 ) .","Treatment with INI-0602 signiﬁcantly prolonged the lifespans of the SOD1 G93A Tg mice ( 5 mg/kg , P < 0.05 ; 10 mg/kg , P < 0.00001 ; 20 mg/kg , P < 0.00001 ; 40 mg/kg , P < 0.05 ) , whereas all PBS-treated SOD1 G93A Tg mice died by week 25 ( Figure 3B ) ."}	{"— .","G ) ."}	0.132
RELATION_GENEHPOTERM_journal.pone.0002569.pdf_249_249_21_21_6_6	p11/HP:0012034|Liposarcoma	{21}	{6}	{DDIT3,transgenic,mice,and,in,human,liposarcoma,cell,lines,carrying,the,translocation,t,(,12,;,16,),(,q13,;,p11,),.}	{"PCR both in liposarcomas of FUS .","— ."}	{"doi :10.1371 / journa | .","pone ."}	0.468
RELATION_GENEHPOTERM_journal.pone.0086701.pdf_35_35_10_11_8_8	allergic_rhinitis/HP:0002099|Asthma	{10,11}	{8}	{[,2,],Although,less,limiting,than,bronchial,asthma,",",allergic,rhinitis,has,been,described,as,a,global,health,concern,causing,major,illness,and,disability,worldwide,.}	{"The prevalence of allergy mediated medical conditions is increasing worldwide and currently affecting approximately a ﬁfth of the world population .","[ 1 ] Especially allergic airway diseases are associated with signiﬁcant quality of life limitations in affected patients ."}	{"[ 3 ] Allergic rhinitis and","PLOS ONE | www ."}	0.238
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0050479.pdf_262_262_1_1_11_13_UNSUP	RG/HP:0008209|Premature ovarian failure	{1}	{11,12,13}	{Gosden,RG,",",Faddy,IVIJ,(,1998,),Biological,bases,of,premature,ovarian,failure,.}	{References,"1 ."}	{"Reprod Fertil Dev 10 : 73 — 78 .","2 ."}	0.022
RELATION_GENEHPOTERM_journal.pone.0076099.pdf_488_488_4_4_37_38	PC/HP:0001370|Rheumatoid arthritis	{4}	{37,38}	{Posthumus,"l\\\\/ID",",",Limburg,PC,",",VVestra,J,",",Cats,HA,",",Stewart,RE,",",et,al.,(,1999,),Serum,levels,of,matrix,metalloproteinase-3,in,relation,to,the,development,of,radiological,damage,in,patients,with,early,rheumatoid,arthritis,.}	{"Eisen NIB , Spellman PT , Brown PC , Botstein D ( 1998 ) Cluster analysis and display of genome ~ wide expression patterns .","Proc Natl Acad Sci U S A 95 : 14863 — l4868 ."}	{"RheumatoloQ ' ( Oxford ) 38 : 108l — l087 .","Acu1fHB , Sinnamon l \\\\ ’ 1 , Fingleton B , Boone B , Levy SE , et al. ( 2006 ) Analysis of host - and tumor-derived proteinases using a custom dual species microarray reveals a protective role for stromal matrix metalloproteinase-12 in non-small cell lung cancer ."}	0.074
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0023925.pdf_338_338_7_7_24_25_UNSUP	CP/HP:0000819|Diabetes mellitus	{7}	{24,25}	{Ferrara,A,",",Kahn,HS,",",Q_uesenberry,CP,",",Riley,C,",",Hedderson,IVIIVI,(,2004,),An,increase,in,the,incidence,of,gestational,diabetes,mellitus,:,Northern,California,",",l99l,*,2000,.}	{"VVrote the paper : CZ J. Dong ZH JS .","4 ."}	{"Obstet Gynecol 103 : 5264533 .","5 ."}	0.052
RELATION_GENEHPOTERM_journal.pone.0054362.pdf_331_331_12_12_34_35	DL/HP:0001402|Hepatocellular carcinoma	{12}	{34,35}	{HuangJ,",",Zhang,YL,",",Teng,"Xl\\\\/I",",",Lin,Y,",",Zheng,DL,",",et,al.,(,2007,),Down,—,regulation,of,SFRP1,as,a,putative,tumor,suppressor,gene,can,contribute,to,human,hepatocellular,carcinoma,.}	{"Jost E , Gezer D , VVilop S , Suzuki H , Herman JG , et al. ( 2009 ) Epigenetic dysregulation of secreted Frizzled-related proteins in multiple myeloma .","Cancer Lett 281 : 24 — 31 ."}	{"BlVlC Cancer 7 : 126 .","18 ."}	0.014
RELATION_GENEHPOTERM_journal.pcbi.1000607.pdf_458_458_37_37_17_18	ETL1/HP:0002652|Skeletal dysplasia	{37}	{17,18}	{Schoor,l,"\\\\",’,I,",",Schuster-Gossler,K,",",Roopenian,D,",",Gossler,A,(,1999,),Skeletal,dysplasias,",",growth,retardation,",",reduced,postnatal,survival,",",and,impaired,fertility,in,mice,lacking,the,SNF2/SVVI2,family,member,ETL1,.}	{"Wlrote the paper : FH SZ .","17 ."}	{"1 \\\\ : Iech Dev 85 : 73 — 83 .","18 ."}	0.088
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0104431.pdf_394_394_1_1_23_24_UNSUP	RH/HP:0001370|Rheumatoid arthritis	{1}	{23,24}	{Straub,RH,",",Cutolo,NI,(,2001,),Involvement,of,the,hypothalamic4,pituitary4,adrenal,/,gonadal,axis,and,the,peripheral,nervous,system,in,rheumatoid,arthritis,:,viewpoint,based,on,a,systemic,pathogenetic,role,.}	{"Immunology 84 : 3374342 .","47 ."}	{"Arthritis Rheum 44 : 4934507 .","4 8 ."}	0.06
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0092952.pdf_392_392_23_23_25_26_UNSUP	TRAIL/diabetic nephropathy	{23}	{25,26}	{Lorz,C,",",Benito-lVIartin,A,",",Boucherot,A,",",Ucero,AC,",",Rastaldi,IVIP,",",et,al.,(,2008,),The,death,ligand,TRAIL,in,diabetic,nephropathy,.}	{"Kavurma 1\\\\/Il \\\\ ’ I , Tan NY , Bennett IVIR ( 2008 ) Death receptors and their ligands in atherosclerosis .","Arterioscler Thromb Vasc Biol 28 : 169441702 ."}	{"J Am Soc N ephrol 19 : 9044 914 .","Benito-1 \\\\ ’ Iartin A , Ucero AC , Santamaria B , Lorz C , Kretzler l \\\\ ’ I , et al. ( 2009 ) [ Transcriptomics illustrate a deadly TRAIL to diabetic nephropathy ] ."}	0.31
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0059675.pdf_671_671_4_4_19_19_UNSUP	CR1/HP:0001903|Anemia	{4}	{19}	{Sharma,Y,",",Astle,CR1,",",Harrison,DE,(,2007,),Heterozygous,kit,mutants,with,little,or,no,apparent,anemia,exhibit,large,defects,in,overall,hematopoietic,stem,cell,function,.}	{"Yoon SY , Tefferi A , Li CY ( 2001 ) Bone marrow stromal cell distribution ofl ) asic fibroblast growth factor in chronic myeloid disorders .","Haematologica 86 : 52457 ."}	{"Exp Hematol 35 : 2144220 .",.}	0.172
RELATION_GENEHPOTERM_journal.pone.0042815.pdf_347_347_8_8_37_38	LD/HP:0002140|Ischemic stroke	{8}	{37,38}	{Soliman,EZ,",",Prineas,R,],",",Case,LD,",",Zhang,Z-m,",",Golf,DC,],r,(,2009,),Ethnic,Distribution,of,ECG,Predictors,of,Atrial,Fibrillation,and,Its,Impact,on,Understanding,the,Ethnic,Distribution,of,Ischemic,Stroke,in,the,Atherosclerosis,Risk,in,Communities,(,ARIC,),Study,.}	{"Buxton AE , ] osephson l \\\\ ’ IE ( 1981 ) The role of p wave duration as a predictor of postoperative atrial arrhythmias .","Chest 80 : 68473 ."}	{"Stroke 40 : 120441211 .","Dagli N , Karaca I , Yavuzkir IVI , Balin NI , Arslan N ( 2008 ) Are maximum P wave duration and P wave dispersion a marker of target organ damage in the hypertensive population ?"}	0.05
RELATION_GENEHPOTERM_journal.pone.0093135.pdf_640_640_1_1_28_29	RS/HP:0000855|Insulin resistance	{1}	{28,29}	{Rector,RS,",",Thyfau1tJP,",",Uptergrove,G1,"\\\\",’,I,",","1\\\\/Iorris",E1,"\\\\",’,I,",",Naples,SP,",",et,al.,(,2010,),Nlitochondrial,dysfunction,precedes,insulin,resistance,and,hepatic,steatosis,and,contributes,to,the,natural,history,of,non-alcoholic,fatty,liver,disease,in,an,obese,rodent,model,.}	{"Power GVV , Cake 1 \\\\ ’ IH , Newsholme EA ( 1997 ) Influence of diet on the kinetic behavior of hepatic carnitine palmitoyltransferase I toward different acyl CoA esters .","Lipids 32 : 31 — 37 ."}	{"Journal of Hepatology 52 : 727 — 735 .","ZhengJL , Luo Z , Liu CX , Chen Q_L , Zhu QL , et al. ( 2013 ) Differential effects of the chronic and acute zinc exposure on carnitine composition , kinetics of carnitine palmitoyltransferases I ( CPT I ) and mRNA levels of CPT I isoforms in yellow catfish Pelteo/mgmr ﬁzlvidmm ."}	0.072
RELATION_GENEHPOTERM_journal.pone.0096829.pdf_540_540_7_7_22_24	TS/HP:0002860|Squamous cell carcinoma	{7}	{22,23,24}	{Nlarks,R,",",Rennie,G,",",Selwood,TS,",",Hospital,A,(,1988,),l,"\\\\",Ialignant,transformation,of,solar,keratoses,to,squamous,cell,carcinoma,.}	{"Cancer 115 : 25234 2530 .","3 ."}	{"Lancet 1 : 7954797 .","4 ."}	0.37
RELATION_GENEHPOTERM_SUP_F_GH_journal.pone.0004149.pdf_58_58_34_34_29_29_UNSUP	FP/district	{34}	{29}	{Study,participants,were,counseled,at,enrolment,about,the,potential,effects,of,ART,on,improving,health,status,",",restoring,fertility,and,sexual,activity,",",and,were,offered,referral,to,the,district,hospital,family,planning,(,FP,),clinic,that,was,adjacent,to,the,study,clinic,if,interested,in,using,any}	{"Among HBAC participants , 97 % of sexually active women and 98 % of sexually active men had disclosed their HIV sero-status to a median of 15 people at baseline , including their sexual partner ( Nakayiwa S. et al. , unpublished data ) , reﬂecting TASO ’s long-standing ‘ positive living ’ philosophy which includes empowering PLHA to disclose their HIV sero-status [ 22 ] .","Enrolment and follow — up procedures — HBAC study As part of the enrollment into HBAC , participants underwent physical examinations and answered in-depth questionnaires to evaluate their social , behavioral , and economic baseline characteristics as well as clinical history ."}	{"22 women > 49 yr old","591 women did not became pregnant"}	0.546
RELATION_GENEHPOTERM_journal.pone.0037422.pdf_207_207_21_21_15_15	TERT/HP:0100843|Glioblastoma	{21}	{15}	{Several,chromosomal,regions,ampliﬁed,in,neural,progenitor,cells,contain,genes,that,are,also,ampliﬁed,in,glioblastoma,including,CDK4,",",SOXI3,",",TERT,",",ABCC3,",",RANBP,],",",MDA/I4,",",CAMIQA,",",[,D2,and,FUTI,[,l4,~,l8,],.}	{"In contrast , ampliﬁed chromosome regions mainly map within chromosome regions with a high gene density ( Figure 5 ) .","As stated above , gene ampliﬁcation is a hallmark of many human tumors including brain tumors ."}	{In,"Ix 16q23J-243 ( 3 12q14J g 9 o o o ° ° 40 : } « Eff 1 ?"}	0.244
RELATION_GENEHPOTERM_journal.pone.0055147.pdf_603_603_22_22_34_34	TCL6/HP:0001909|Leukemia	{22}	{34}	{Saitou,l,"\\\\",’,l,",",SugimotoJ,",",Hatakeyama,T,",",Russo,G,",",Isobe,1V1,(,2000,),Identiﬁcation,of,the,TCL6,genes,within,the,breakpoint,cluster,region,on,chromosome,l4q32,in,T-cell,leukemia,.}	{"Blood 112 : 383 — 393 .","10 ."}	{"Oncogene 19 : 2796 — 2802 .","11 ."}	0.548
RELATION_GENEHPOTERM_SUP_F_H_SCPDFS_45580.pdf_154_154_1_1_19_20_UNSUP	CCR1/HP:0003560|Muscular dystrophy	{1}	{19,20}	{The,CCR1,and,1387-25,probes,are,situated,only,250,kb,apart,in,man,and,are,both,within,the,Duchenne,muscular,dystrophy,gene,(,Heilig,et,al.,",",1987,),",",the,CCR1,probe,being,situated,5,',to,the,E87,-25,probe,and,therefore,centromeric,.}	{"One region in which unambiguous ordering of the loci relative to one another has not so far proved possible involves the genetic segment containing the factor VIII gene probe F8A , the red pigment gene probe hs7 ( Nathans et al. , 1986 ) , and the G6PD-GdX-P3 locus probe G28 .","Pedigree analysis of over 100 animals has failed to demonstrate any recombination between these loci despite the fact that pairwise recombination distance comparison at ﬁrst view showed slightly higher recombination between G6PD-GdX-P3 and Hprt than between F8A or hs7 and Hprt ."}	{"Despite this , one recombinant animal of the 130 animals analyzed was found between these two probes .","The ﬁnding of this recombinant animal has allowed orientation of the mouse segment homologous to the DMD-containing fragment in man ."}	0.026
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0015045.pdf_106_106_36_36_30_30_UNSUP	GAP/importance	{36}	{30}	{Importantly,",",it,should,also,be,mentioned,that,at,steady-state,conditions,the,monopa1mitoylated,fraction,of,GAP,—,43,represent,the,60,%,of,the,total,GAP43,protein,",",indicating,the,importance,of,the,monoacylated,specie,in,GAP,—,43,function,[,46,],.}	{"Single Acylated Mutant of N ‘ 3GAP — 43 is Deacylated In Vivo Faster than its Double Acylated Counterpart Diacylated GAP — 43 requires a double deacylation event for its membrane dissociation .","To investigate single deacylation events occurring on GAP — 43 and to set a more direct method for deacylation readout , we decided to carry out our experiments using single acylated mutants of GAP — 43 ."}	{"We generated single and double cysteine mutants at the acylation motif of “ GAP — 43 [ ~ \\" “‘ GAP — 43 ( c3s ) , ‘ \\\\ ” 3GAP — 43 ( c4s ) , NBGAP-43 ( C3 ,4 S ) ] and GAP — 43 “ [ GAP-43f “” ( C3S ) , GAP-43f ”“ ( C4S ) , GAP-43f ”” ( C3 ,4 S ) ] which were then characterized by in vivo confocal microscopy and biochemical analyses .","As previously observed , GAP — 43 “ and N ” GAP-43 localized , at steady-state , at the RE , plasma membrane and TGN ( Fig ."}	0.206
RELATION_GENEHPOTERM_journal.pone.0056861.pdf_374_374_33_33_23_24	insulin/HP:0000855|Insulin resistance	{33}	{23,24}	{Nlatthews,DR,",",HoskerJP,",",Rudenski,AS,",",Naylor,BA,",",Treacher,DF,",",et,al.,(,1985,),Homeostasis,model,assessment,:,insulin,resistance,and,beta-cell,function,from,fasting,plasma,glucose,and,insulin,concentrations,in,man,.}	{"Diabetes Care 23 : 110841112 .",.}	{"Diabetologia 28 : 4124 419 .",.}	0.502
RELATION_GENEHPOTERM_SUP_F_H_SCPDFS_4871.pdf_71_71_19_19_14_14_UNSUP	EMT/alk5	{19}	{14}	{In,the,present,study,",",we,re,—,investigate,the,roles,of,endoglin,and,Alk5,in,the,process,of,EMT,in,the,AV,cushion,.}	{"Studies by Lai et al. ( 2000 ) showed a requirement for Alk2 in EMT and suggested that Alk5 was not involved in this process although it was present in the AV canal .","In light of our ﬁndings conceming endoglin ﬁinction , we chose to reexamine Alk5 as well ."}	{"Our results show that blocking endoglin or Alk5 inhibits EMT in cultured AV explants .","As endoglin regulates endothelial proliferation by interaction with Alk5 and Alkl , we explored whether the loss of mesenchymal cells was due to a decrease of cell proliferation ."}	0.232
RELATION_GENEHPOTERM_journal.pone.0103479.pdf_62_62_0_0_2_2	C6/HP:0009733|Glioma	{0}	{2}	{C6,rat,glioma,cells,(,passage,range,12,—,38,),",",obtained,from,the,European,Collection,of,Cell,Cultures,",",(,Porton,Down,",",UK,),were,cultured,in,F-10,Ham,supplemented,with,10,%,FBS,and,PEST,.}	{"Rat prostate cancer AT1 cells ( passages 34 ~ 58 ) were obtained from Professor Anders Bergh , Department of Medical Biosciences , Umea University .","The cells ( sometimes termed R3327 AT1 , and originating from the inventor , [ 21 ] ) were cultured in RPMI 1640 medium , with 10 % FBS , 25 nM dexamethasone , 2 mM 1-glutamine and PEST ."}	{"P19 mouse embryonic carcinoma cells ( passage 18 — 33 , European Collection of Cell Cultures , Porton Down , UK ) , were cultured in MEM alpha 22571 with 10 % FBS , 1 % non-essential amino acids and PEST .","AEA uptake assay The method of Rakhshan et al. [ 22 ] with minor modiﬁcations [ 23 ] was used ."}	0.03
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0059247.pdf_232_232_14_14_49_49_UNSUP	RPE/HP:0000589|Coloboma	{14}	{49}	{*,In,all,mutants,that,are,Vaxl,’,/,F,",",the,prospective,ventral,RPE,domain,is,present,in,the,early,optic,vesicle/optic,cup,stage,",",but,gradually,displaced,by,the,overgrowing,presumptive,ventral,optic,stalk,domain,that,also,abnormally,contains,VSX2,—,expressing,cells,",",resulting,in,ventral,coloboma,after,E14,;,“,Interestingly,",",about,50,%,of,the,Vaxl,’,/,’,;,Mitf,F/F,embwonic,eye,sections,showed,only,mild,dorsal,RPE,phenotypes,(,see,Figure,2F,),.}	{"— .","P : — ; V : severe coloboma E10 .5 Mitf * / ’"}	{"It is possible that loss of VAX1 functions increases the local dosages of antiretinogenic factors such as VAX2 , JAGGEDl , or TFEC [ 19 ] but such changes may be too subtle to be detected by immunostaining or in situ hybridization .","*** Although the Vaxli / ’ ; Vax2 ’ / ’ ; Mitf * / F embryos appeared to have largely normal RPE pigmentation ( Figure 3C ) , on sections there were some patches of thickened dorsa | ."}	0.068
RELATION_GENEHPOTERM_SCPDFS_46300.pdf_190_190_18_18_22_22	AVPR1A/HP:0000717|Autism	{18}	{22}	{21,Kim,",",S.J.,et,al.,(,2001,),Transmission,disequilibrium,testing,of,arginine,vasopressin,receptor,1A,(,AVPR1A,),polymorphisms,in,autism,.}	{"Mol .","Psychiatry 11 , 488-494"}	{"Mol .","Psychiatry 7 , 503-507"}	0.258
RELATION_GENEHPOTERM_journal.pone.0095433.pdf_484_484_16_16_28_30	D1/HP:0001952|Abnormal glucose tolerance	{16}	{28,29,30}	{Kernan,VVN,",",Viscoli,CNI,",",Inzucchi,SE,",",Brass,L1,"\\\\",’,I,",",Bravata,D1,"\\\\",’,I,",",et,al.,(,2005,),Prevalence,of,abnormal,glucose,tolerance,following,a,transient,ischemic,attack,or,ischemic,stroke,.}	{"Circulation 127 : e6 — e245 .","2 ."}	{"Arch Intern 1 \\\\ ’ Ied 165 : 227 * 233 .","3 ."}	0.494
RELATION_GENEHPOTERM_SCPDFS_28260.pdf_23_23_2_2_13_13	NF/HP:0100242|Sarcoma	{2}	{13}	{Meningioma,",",NF,2,",",Ewing,’s,sarcoma,and,soft,tissue,clear,cell,sarcoma,may,serve,as,additional,examples,.}	{Introduction,"During the past years structural alterations of chromosome 22 were linked to a series of tumorigenic disorders , the ﬁrst and , by now , a historical example being the Philadelphia chromosome ."}	{"More recently , candidate genes have been identiﬁed for these neoplasms by means of positional cloning ( Trofatter et al. , 1993 ; Delattre et al. , 1992 ) .","In addition , several congenital syndromes , e.g. CATCH22 and cat eye were linked to chromosome 22 abnormalities ( for review , see Scambler , 1994 ) ."}	0.46
RELATION_GENEHPOTERM_journal.pone.0047841.pdf_482_482_0_0_5_5	TG/HP:0001297|Stroke	{0}	{5}	{TG,mice,24,h,after,stroke,at,bregxna,-0.08,mm,(,A,",",upper,panels,),",",-1.76,mm,(,A,",",rniddle,panels,),and,-3.44,mm,(,A,",",lower,panels,),",",with,the,infarct,area,outlined,in,white,.}	{"Figure S1 Representative coronal brain sections are shown from WT and DSCR1 .","— ."}	{"Proﬁle of brain infarct location in WT ( black symbols ) and DSCR1 .","— ."}	0.532
RELATION_GENEHPOTERM_journal.pone.0031053.pdf_521_521_26_26_30_31	PTEN/HP:0012125|Prostate cancer	{26}	{30,31}	{Nlulholland,DJ,",",Tran,Ll,"\\\\",I,",",Li,Y,",",Cai,H,",",Nlorim,A,",",et,al.,(,2011,),Cell,autonomous,role,of,PTEN,in,regulating,castration-resistant,prostate,cancer,growth,.}	{"Chang CJ , Freeman DJ , W ’ u H ( 2004 ) PTEN regulates Mdm2 expression through the P1 promoter .","J Biol Chem 279 : 29841429848 ."}	{"Cancer Cell 19 : 7924804 .","Nladrid LV , 1 \\\\ ’ Iayo l \\\\ ’ IVV , Reuther JY , Baldwin AS , Jr. ( 2001 ) Akt stimulates the transactivation potential of the RelA/p65 Subunit of NF-kappa B through utilization of the Ikappa B kinase and activation of the mitogen-activated protein kinase p38 ."}	0.434
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0020781.pdf_618_618_28_28_36_36_UNSUP	p53/HP:0002665|Lymphoma	{28}	{36}	{Nlartin,A,",",Flaman,JIVI,",",Frebourg,T,",",Davi,F,",",El,l,"\\\\",’,Iansouri,S,",",et,al.,(,1998,),Functional,analysis,of,the,p53,protein,in,AIDS,~,related,non-Hodgkin,’s,lymphomas,and,polymorphic,lymphoproliferations,.}	{"Ballerini P , Gaidano G , Gong JZ , Tassi V , Saglio G , et al. ( 1993 ) lVIultiple genetic lesions in acquired immunodeﬁciency syndrome-related non-Hodgkin ’s lymphoma .","Blood 81 : l66 * l76 ."}	{"Br J Haematol 101 : 311 — 317 .","Villuendas R , Piris KIA , Algara P , Sanchez ~ Beato l \\\\ ’ I , Sanchez-Verde L , et al. ( 1993 ) The expression of p53 protein in non ~ Hodgl < in ’s lymphomas is not always dependent on p53 gene mutations ."}	0.702
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0038052.pdf_20_20_3_3_11_11_UNSUP	p53/HP:0009919|Retinoblastoma	{3}	{11}	{M,expression,induced,p53,and,p21,accumulation,and,decreased,phosphorylation,of,retinoblastoma,protein,(,Rb,),.}	{"Interestingly , RSV .","— ."}	{"Further , induction of cell cycle arrest by RSVM was not observed in a p53 — deficient epithelial cell line ( H1299 ) .","However , cell cycle arrest was restored after transfection of p53 cDNA into H1299 cells ."}	0.098
RELATION_GENEHPOTERM_SUP_F_H_SCPDFS_23835.pdf_184_184_43_43_37_37_UNSUP	KPNA1/codon	{43}	{37}	{In,fact,",",the,sequence,of,the,CDNA,reported,ATG,translation,start,codon,was,in,a,favorable,context,for,in,the,present,study,had,99,%,and,98,%,identities,with,mouse,translation,initiation,and,no,ATG,codon,could,be,detected,and,human,KPNA1,counterparts,",",respectively,.}	{"KPNA1 ( Fig .","2 ) ."}	{"The putative upstream .","A consensus polyadenylation signal ( AATAAA )"}	0.47
RELATION_GENEHPOTERM_SUP_F_G_journal.pgen.1004257.pdf_63_63_49_49_41_42_UNSUP	PRS/HP:0000175|Cleft palate	{49}	{41,42}	{Here,",",we,demonstrate,how,a,naturally,occurring,model,of,PRS,in,the,Nova,Scotia,Duck,Tolling,Retriever,(,NSDTR,),breed,",",characterized,by,CP,and,relative,micrognathia,",",led,to,the,identiﬁcation,of,both,the,ﬁrst,mutation,responsible,for,cleft,palate,in,dogs,and,candidate,genes,for,PRS,in,people,.}	{"Domestication and subsequent pedigreed breed creation from a small number of founders has led to a unique genetic background , resulting in a small number of genetic variants being responsible for the broad phenotypic diversity observed [ 18 ] .","Compared to humans , dogs are amendable to association-based mapping studies with a small number of samples due to their relatively long linkage disequilibrium blocks within breeds [ 19 ] ."}	{Results,"Genome ."}	0.18
RELATION_GENEHPOTERM_journal.pone.0007792.pdf_69_69_34_34_45_46	DMT/HP:0001935|Microcytic anemia	{34}	{45,46}	{Notably,",",rodent,models,presenting,a,spontaneous,mutation,in,DMT,],",",microcytic,(,mk,),mice,and,Belgrade,(,b,/,b,),rats,[,36,],",",and,several,human,mutations,in,DMT,],[,"37,38,39,40,4",l,",42",],suggest,an,association,between,microcytic,anemia,",",impairment,of,Fe,transport,and,Mn,homeostasis,.}	{"In 1999 it was designated as DMTl [ 28 ] .","DMTl is an integral membrane protein conserved from bacteria to humans , containing ll to 12 transmembrane domains ( TMD ) and a “ consensus transport sequence ” ( CTS ) involved in divalent metal ion transport [ 32,33,34,35 ] ."}	{"In vertebrates , DMTl is ubiquitously expressed , but more abundant expression is observed in the proximal duodenum compared to the kidney or the brain [ 28,32,43 ] .","Within the brain , the basal ganglia express higher levels of DMTl , where Mn preferentially accumulates [ 44 ] ."}	0.454
RELATION_GENEHPOTERM_journal.pone.0042594.pdf_74_74_15_15_11_13	CAD/HP:0001677|Coronary artery disease	{15}	{11,12,13}	{Percutaneous,Coronary,Intervention,Elective,PCI,was,performed,for,patients,with,stable,coronary,artery,disease,(,CAD,),.}	{"All patients were stratiﬁed into three groups according to their serum bilirubin levels [ 16 ] .","Patients with bilirubin levels > 0.7 mg/dl ( highest tertile ) were deﬁned as the high-bilirubin group ( n = 182 , 33.4 % ) , those with bilirubin levels 50.5 mg/dl ( lowest tertile ) as the low-bilirubin group ( n = 181 , 33.3 % ) and those with bilirubin levels > 0.5 mg/dl and 50.7 mg / dl as the normal-bilirubin group ( n = 181 , 33.3 % ) ."}	{"Primary PCI was performed for patients","n PLoS ONE | www ."}	0.132
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_44185.pdf_50_50_5_5_17_18	SMS/HP:0004322|Short stature	{5}	{17,18}	{The,consistent,clinical,features,of,SMS,patients,include,‘,characteristic,dysmorphic,features,",",microbrachycephaly,",",brachydactyly,",",short,stature,",",and,developmental,delay,.}	{"— .","Magenis syndrome ( SMS ) is a recently described multiple congenital anomaly/mental retardation syndrome that is associated with an interstitial deletion of band p11 .2 of the short arm of chromosome 17 ( Smith et al. , 1986 ; Stratton et al. , 1986 ) and may represent a contiguous gene syndrome ( Schmickel , 1986 ; Greenberg et al. , 1991 ) ."}	{"Variable clinical features include cleft lip/palate , congenital heart defects , microcornea , sleep disturbances including absent REM sleep , signs of peripheral neuropathy , and aggressive and selfdestructive behavior , particularly onychotillomania ( pulling out of ﬁnger and toe nails ) and polyembolokoilamania ( insertion of foreign objects into the body ) .","These variable features may be due to varying extents of deletions in different patients ."}	0.57
RELATION_GENEHPOTERM_journal.pone.0066808.pdf_475_475_25_25_33_34	leptin/HP:0000855|Insulin resistance	{25}	{33,34}	{NIente,A,",",Razak,F,",",Blankenberg,S,",",Vuksan,V,",",Davis,AD,",",et,al.,(,2010,),Ethnic,variation,in,adiponectin,and,leptin,levels,and,their,association,with,adiposity,and,insulin,resistance,.}	{"Lin PI , Vance Jl \\\\ ’ I , Pericak-Vance KIA , lVIartin ER ( 2007 ) No gene is an island : the flip — flop phenomenon .","AmJ Hum Genet 80 : 531-538 ."}	{"Diabetes Care 33 : 1629-1634 .","Ferris VVF , Naran NH , Crowther NJ , Rheeder P , van der lVIerwe L , et al. ( 2005 ) The relationship between insulin sensitivity and serum adiponectin levels in three population groups ."}	0.552
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0017569.pdf_429_429_13_13_15_16_UNSUP	insulin/HP:0000819|Diabetes mellitus	{13}	{15,16}	{To,be,eligible,for,the,DCCT,",",patients,were,required,to,have,had,insulin,dependent,diabetes,mellitus,for,one,to,ﬁve,years,and,to,have,no,retinopathy,as,detected,by,7-ﬁeld,stereoscopic,fundus,photography,.}	{"The DCCT did not consider islet autoantibody status .","Another possibility is the difference in participants ."}	{"This is a more sensitive measure of retinopathy than we were able to attain in our sample .","Their study period was also considerably shorter and measures of C-peptide more closely coincided with assessment of retinopathy ."}	0.922
